,text,genre,playlist,sort,track,music_item,service,year,album,artist
740,Play Clay Aiken 's The Bonny Hind on Groove Shark .,,,,The Bonny Hind,,Groove Shark,,,Clay Aiken
741,Play a song from Helena Iren Michaelsen on Spotify,,,,,song,Spotify,,,Helena Iren Michaelsen
742,Play thirties music by Flex on Google Music,,,,,,Google Music,thirties,,Flex
743,Play the good sort of 1992  theme music by Layzie Bone,,,good,,theme,,1992,,Layzie Bone
744,Play the last  soundtrack from the sixties,,,last,,soundtrack,,sixties,,
745,Play the latest  ep from Lobby Loyde on Netflix,,,latest,,ep,Netflix,,,Lobby Loyde
746,Play some Dave Pearce .,,,,,,,,,Dave Pearce
747,play track  Her Majesty,,,,Her Majesty,track,,,,
748,I want to hear the newest music from The Railway Children,,,newest,,,,,,The Railway Children
749,Play Short Walk On A Long Pier on Slacker,,,,,,Slacker,,Short Walk On A Long Pier,
750,I want to hear Vegetables by pharrell williams,,,,Vegetables,,,,,pharrell williams
751,Play the album  Making Evening And Night by Cevin Key ,,,,,album,,,Making Evening And Night,Cevin Key
752,Create a theme station with Jim Creeggan records and collabs,,,,,theme,,,,Jim Creeggan
753,Open Pandora and play Reggaeton 2017 y Baila !,,Reggaeton 2017 y Baila,,,,Pandora,,,
754,Play a Martyn Bennett from 1957 on Pandora,,,,,,Pandora,1957,,Martyn Bennett
755,Play the Mother Lode by Tamio Okuda,,,,,,,,Mother Lode,Tamio Okuda
756,Play the top  melody from artist Maakii,,,top,,melody,,,,Maakii
757,Play any album from the twenties,,,,,album,,twenties,,
758,Play me a song on Pandora,,,,,song,Pandora,,,
759,Play me a song by Stephen Jones,,,,,song,,,,Stephen Jones
760,Play a 1998  sound track from Sam The Kid on Last Fm,,,,,sound track,Last Fm,1998,,Sam The Kid
761,Play an ep by Uncle Jimmy Thompson,,,,,ep,,,,Uncle Jimmy Thompson
762,Play some Game music.,Game,,,,,,,,
763,Play music from 2012 on Netflix .,,,,,,Netflix,2012,,
764,I want to hear a good  song from 2016,,,good,,song,,2016,,
765,Play the playlist Gypsy Swing,,Gypsy Swing,,,,,,,
766,play some grunge,grunge,,,,,,,,
767,Play some Sam Moore .,,,,,,,,,Sam Moore
768,play Mikazuki Sunset,,,,Mikazuki Sunset,,,,,
769,Play music on itunes from artist Jessica Delfino,,,,,,itunes,,,Jessica Delfino
770,open Deezer and search for Scott Miller and play some of his new songs,,,new,,,Deezer,,,Scott Miller
771,play Peja tunes,,,,,,,,,Peja
772,Play a Wendy Carlos  song from 2002,,,,,song,,2002,,Wendy Carlos
773,Play a new  song form the eighties,,,new,,song,,eighties,,
774,Play the track titled Faget,,,,Faget,track,,,,
775,Play the top  song by Jack Grisham,,,top,,song,,,,Jack Grisham
776,Please play Jag Vill Leva I Europa by porta,,,,Jag Vill Leva I Europa,,,,,porta
777,Want to hear a chant by Nellie Mckay from the year 2008,,,,,chant,,2008,,Nellie Mckay
778,Play the top-ten  chant  Doda songs from the twenties .,,,top-ten,,chant,,twenties,,Doda
779,Play sound track music from the twenties,,,,,sound track,,twenties,,
780,Play some Carmen Mcrae from Ed Robertson off of Itunes,,,,,,Itunes,,Carmen Mcrae,Ed Robertson
781,play a song by Fats Waller,,,,,song,,,,Fats Waller
782,I'd like to listen to Diana Vickers  best  tune from the twenties,,,best,,tune,,twenties,,Diana Vickers
783,Can you play any chant from the fourties ?,,,,,chant,,fourties,,
784,Play some music by Daniel Carter,,,,,,,,,Daniel Carter
785,Play twenties on Groove Shark,,,,,,Groove Shark,twenties,,
786,Play twenties  symphony from Robert Walter,,,,,symphony,,twenties,,Robert Walter
787,Can you play a sonata,sonata,,,,,,,,
788,Let's listen to the most popular  Marty Friedman songs on Zvooq .,,,most popular,,,Zvooq,,,Marty Friedman
789,Play an album from the fourties,,,,,album,,fourties,,
790,Play me a Xuefei Yang  symphony on Groove Shark,,,,,symphony,Groove Shark,,,Xuefei Yang
791,play soem nineties  Charles Thompson,,,,,,,nineties,,Charles Thompson
792,Play some dance music,dance,,,,,,,,
793,Let's hear some tunes from the thirties .,,,,,,,thirties,,
794,Play the seventies  album on last fm,,,,,album,last fm,seventies,,
795,Play music from Lastfm and Deezer .,,,,,,Deezer,,,
796,play TÃ© Para Tres,,TÃ© Para Tres,,,,,,,
797,Play artist stu davis from the album  Dub Chamber 3 on Netflix,,,,,album,Netflix,,Dub Chamber 3,stu davis
798,Play music by Ian Haugland,,,,,,,,,Ian Haugland
799,Play some Drum & Bass,Drum & Bass,,,,,,,,
800,play a symphonic rock on Pandora,symphonic rock,,,,,Pandora,,,
801,Play the last  theme by Behzad Mirkhani .,,,last,,theme,,,,Behzad Mirkhani
802,Open Netflix and play David Frizzell,,,,,,Netflix,,,David Frizzell
803,Can you play Crossover ?,Crossover,,,,,,,,
804,Plya a tune by Kancherla Gopanna from 1951 on Zvooq,,,,,tune,Zvooq,1951,,Kancherla Gopanna
805,Play some fourties music on Spotify .,,,,,,Spotify,fourties,,
806,play the album  Everybody Happy by Lee Aaron,,,,,album,,,Everybody Happy,Lee Aaron
807,Play the theme music from 1963 by Yuki Koyanagi,,,,,theme,,1963,,Yuki Koyanagi
808,play Groove Shark  folk-rock,folk-rock,,,,,Groove Shark,,,
809,play the album  How Insensitive,,,,,album,,,How Insensitive,
810,play some Classical music on Spotify,Classical,,,,,Spotify,,,
811,Play Used To Love Her by Dara .,,,,Used To Love Her,,,,,Dara
812,Play me a twenties  tune on Deezer,,,,,tune,Deezer,twenties,,
813,play music by Cass Elliot,,,,,,,,,Cass Elliot
814,Play concerto from the eighties,,,,,concerto,,eighties,,
815,Play On My Own,,,,On My Own,,,,,
816,Play Nick Hexum  latest  album,,,latest,,album,,,,Nick Hexum
817,Play me a twenties  song,,,,,song,,twenties,,
818,play a ballad from 2000,,,,,ballad,,2000,,
819,Play the sound track by Ferry Corsten,,,,,sound track,,,,Ferry Corsten
820,Play a 2009  concerto on Deezer .,,,,,concerto,Deezer,2009,,
821,Play me some Max Martin on Lastfm,,,,,,Lastfm,,,Max Martin
822,play some Sia Furler on Last Fm,,,,,,Last Fm,,,Sia Furler
823,Play the thirties  soundtrack by ghader abdollahzadeh on Youtube,,,,,soundtrack,Youtube,thirties,,ghader abdollahzadeh
824,play Say A Word by La India,,,,Say A Word,,,,,La India
825,Play me a fifties  song by Chingy,,,,,song,,fifties,,Chingy
826,Play music from Paul Landers,,,,,,,,,Paul Landers
827,Play Taiwan Is Good by Kotoko .,,,,Taiwan Is Good,,,,,Kotoko
828,I'm in the mood to listen to meditative music.,meditative,,,,,,,,
829,Play Hughie Graham by Vidyadhar Vyas,,,,Hughie Graham,,,,,Vidyadhar Vyas
830,Give me an album from 1972 to listen to.,,,,,album,,1972,,
831,Play some 1962  theme music.,,,,,theme,,1962,,
832,Play NoctÃ¡mbulo playlist,,NoctÃ¡mbulo,,,,,,,
833,Play Annet Artani  soundtrack on Slacker,,,,,soundtrack,Slacker,,,Annet Artani
834,play the track  The Wizard And I,,,,The Wizard And I,track,,,,
835,Play Crossroad Blues .,,Crossroad Blues,,,,,,,
836,Play some amber kuo from the eighties on Spotify .,,,,,,Spotify,eighties,,amber kuo
837,I need to hear some music from Spotify,,,,,,Spotify,,,
838,Play some sister rosetta tharpe songs from the eighties,,,,,,,eighties,,sister rosetta tharpe
839,Play on spotify  Ms Scandalous,,,,,,spotify,,,Ms Scandalous
840,Play a twenties  tune by Jodie Aysha .,,,,,tune,,twenties,,Jodie Aysha
841,play Addicted To You by Hank Ballard,,,,Addicted To You,,,,,Hank Ballard
842,Play Tooh by Eric Bazilian on Google Music .,,,,Tooh,,Google Music,,,Eric Bazilian
843,Play music by Keren Woodward,,,,,,,,,Keren Woodward
844,Play music by Paulinho Da Viola from 1965,,,,,,,1965,,Paulinho Da Viola
845,Play Sergei Anatoljewitsch Kurjochin 's music on Groove Shark .,,,,,,Groove Shark,,,Sergei Anatoljewitsch Kurjochin
846,Play the song  Little Robin Redbreast,,,,Little Robin Redbreast,song,,,,
847,Play music from the artist Irma Pane,,,,,,,,,Irma Pane
848,Play an Andy Silvester  sound track from the thirties on Spotify,,,,,sound track,Spotify,thirties,,Andy Silvester
849,Play the music of Tupac Shakur,,,,,,,,,Tupac Shakur
850,Play anything from the top-50  Jeff Irwin  record off of itunes,,,top-50,,record,itunes,,,Jeff Irwin
851,Play Tina Cousins from 1956,,,,,,,1956,,Tina Cousins
852,Play the music genre Synthpop,Synthpop,,,,,,,,
853,Play me songs from 1955,,,,,,,1955,,
854,Use itunes to play dancing playlist,,dancing,,,,itunes,,,
855,Play movement music by Monk Boudreaux on youtube,,,,,movement,youtube,,,Monk Boudreaux
856,Play the best  Bruce Ruffin music on Youtube .,,,best,,,Youtube,,,Bruce Ruffin
857,Play some showtunes music.,showtunes,,,,,,,,
858,play music from 2014,,,,,,,2014,,
859,play There Must Be More To Life Than This,,,,There Must Be More To Life Than This,,,,,
860,Play Suite Sudarmoricaine by Afi on itunes,,,,Suite Sudarmoricaine,,itunes,,,Afi
861,play the top-twenty  margaret becker songs with google music,,,top-twenty,,,google music,,,margaret becker
862,Play the new music from Wilko Johnson,,,new,,,,,,Wilko Johnson
863,play Iheart tunes by Neil Finn,,,,,,Iheart,,,Neil Finn
864,Play some music on Slacker,,,,,,Slacker,,,
865,Play the album  Shooting Silvio by Dave Sabo,,,,,album,,,Shooting Silvio,Dave Sabo
866,I want to hear music from carman from the 1966  album,,,,,album,,1966,,carman
867,Play my Fusion Fest playlist on Youtube,,Fusion Fest,,,,Youtube,,,
868,Play 2004  Guy Sebastian on Itunes,,,,,,Itunes,2004,,Guy Sebastian
869,Play Vic Ruggiero music from 2007,,,,,,,2007,,Vic Ruggiero
870,Play All The Way My Savior Leads Me on Spotify,,,,All The Way My Savior Leads Me,,Spotify,,,
871,Play some nineties music on Pandora,,,,,,Pandora,nineties,,
872,Play fifties music,,,,,,,fifties,,
873,Play some nineties  Eliza Carthy,,,,,,,nineties,,Eliza Carthy
874,I want to hear sia furler 's popular songs on Last Fm,,,popular,,,Last Fm,,,sia furler
875,Play Seaside by Don Cherry .,,,,,,,,Seaside,Don Cherry
876,Play record from the seventies,,,,,record,,seventies,,
877,Play any chant from 1973,,,,,chant,,1973,,
878,play top tunes by Joseph Utsler,,,top,,,,,,Joseph Utsler
879,play southern rock tunes,southern rock,,,,,,,,
880,Play me some music youtube,,,,,,youtube,,,
881,play Iheart,,,,,,Iheart,,,
882,Play Igor Nikolayev music from the fourties,,,,,,,fourties,,Igor Nikolayev
883,Please play songs by Lil Jon,,,,,,,,,Lil Jon
884,play Victoria Banks 's album,,,,,album,,,,Victoria Banks
885,play a song by Busta Rhymes,,,,,song,,,,Busta Rhymes
886,Play the album  Resurrection In Blood from Sleepy Brown on Itunes .,,,,,album,Itunes,,Resurrection In Blood,Sleepy Brown
887,Play fifties music by Ahmed Abdul Malik,,,,,,,fifties,,Ahmed Abdul Malik
888,Play the greatest  record by Joe Purdy on Google Music,,,greatest,,record,Google Music,,,Joe Purdy
889,play some latin on Zvooq,latin,,,,,Zvooq,,,
890,I want to hear the top 5  Jamie Lidell songs,,,top 5,,,,,,Jamie Lidell
891,I want to hear gothic rock on Lastfm,gothic rock,,,,,Lastfm,,,
892,Play iheart,,,,,,iheart,,,
893,play Wolves by Larry Gatlin,,,,Wolves,,,,,Larry Gatlin
894,Play That Stubborn Kinda Fellow by Michael Amott,,,,,,,,That Stubborn Kinda Fellow,Michael Amott
895,play Long Way To Go by Keita Tachibana,,,,Long Way To Go,,,,,Keita Tachibana
896,Play the most popular  ep by marcel khalife on Netflix,,,most popular,,ep,Netflix,,,marcel khalife
897,Play album from Maureen Mcgovern,,,,,album,,,,Maureen Mcgovern
898,Play music on Deezer .,,,,,,Deezer,,,
899,Play music from 2000 on spotify,,,,,,spotify,2000,,
900,Play the newest  Phil Stacey .,,,newest,,,,,,Phil Stacey
901,Play music on Last Fm,,,,,,Last Fm,,,
902,I'd like to listen to opera on Youtube,opera,,,,,Youtube,,,
903,Play Listen To The Mocking Bird by Billy Martin on Youtube,,,,Listen To The Mocking Bird,,Youtube,,,Billy Martin
904,Can you play me something from the eighties on Youtube,,,,,,Youtube,eighties,,
905,Play Spotify,,,,,,Spotify,,,
906,Play the top-fifty  theme songs by Dennis Brown .,,,top-fifty,,theme,,,,Dennis Brown
907,Play a popular  chant by Brian Epstein,,,popular,,chant,,,,Brian Epstein
908,Play a chant from 1978 .,,,,,chant,,1978,,
909,Play a song off the Nicht Sprechen  album,,,,,album,,,Nicht Sprechen,
910,play Netflix  ballad by Mike Shinoda that is popular,,,popular,,ballad,Netflix,,,Mike Shinoda
911,play Isaac Yamma  Slut,,,,,,,,Slut,Isaac Yamma
912,play Joey Fatone  soundtrack tunes from Google Music from 1972,,,,,soundtrack,Google Music,1972,,Joey Fatone
913,Play music on pandora,,,,,,pandora,,,
914,Play a record from 1950 .,,,,,record,,1950,,
915,I want to the latest  ballad from Ira Losco,,,latest,,ballad,,,,Ira Losco
916,Play music from 1958 .,,,,,,,1958,,
917,Can you play a 1967  soundtrack on Slacker,,,,,soundtrack,Slacker,1967,,
918,Play the last Wellman Braud  album relaesd,,,,,album,,,,Wellman Braud
919,play fifties  movement songs by Fabio on Last Fm,,,,,movement,Last Fm,fifties,,Fabio
920,Play my Under The Surface playlist.,,Under The Surface,,,,,,,
921,play deezer  top 20 by Natasja,,,top 20,,,deezer,,,Natasja
922,play a ballad by Bob Johnston,,,,,ballad,,,,Bob Johnston
923,Play the latest  Joan Baez .,,,latest,,,,,,Joan Baez
924,Play the album  Qr Iii by bobby bare,,,,,album,,,Qr Iii,bobby bare
925,Play Les Pauvres Riches by Pan Mei Chen .,,,,,,,,Les Pauvres Riches,Pan Mei Chen
926,Play some 1987  Edie Brickell .,,,,,,,1987,,Edie Brickell
927,Play my Jazz Brasileiro playlist,,Jazz Brasileiro,,,,,,,
928,I'd like to hear Cry Baby Cry by Ally Kerr .,,,,Cry Baby Cry,,,,,Ally Kerr
929,play a top-twenty  tune by Noor Jehan,,,top-twenty,,tune,,,,Noor Jehan
930,Open Itunes and play Bad Attitude,,,,,,Itunes,,Bad Attitude,
931,Do you have something like Impossible Is Nothing by Abderrahmane Abdelli ?,,,,Impossible Is Nothing,,,,,Abderrahmane Abdelli
932,"Play music from jeremy taylor on the album  Dormi Amore, La Situazione Non Ã Buona on Groove Shark",,,,,album,Groove Shark,,"Dormi Amore, La Situazione Non Ã Buona",jeremy taylor
933,play caitlin cary from the fourties,,,,,,,fourties,,caitlin cary
934,Play some gothic rock .,gothic rock,,,,,,,,
935,Play some fast fusion on Spotify,fast fusion,,,,,Spotify,,,
936,Play The God That Failed on Vimeo .,,,,The God That Failed,,Vimeo,,,
937,Open up music on Last Fm .,,,,,,Last Fm,,,
938,Play some David Mallett on last fm,,,,,,last fm,,,David Mallett
939,play playlist A Mis NiÃ±os de 30,,A Mis NiÃ±os de 30,,,,,,,
940,Play This Is: Animal Collective please,,This Is: Animal Collective,,,,,,,
941,play the latest  melody from Cliff Edwards on Deezer,,,latest,,melody,Deezer,,,Cliff Edwards
942,play any sixties  song,,,,,song,,sixties,,
943,Play a top-ten  chant by Kelly Groucutt from 1964,,,top-ten,,chant,,1964,,Kelly Groucutt
944,Play Intense Studying playlist on Itunes .,,Intense Studying,,,,Itunes,,,
945,Play some Mf Doom from the sixties on pandora .,,,,,,pandora,sixties,,Mf Doom
946,"Can you play a song off the album , jungle",,,,,album,,,jungle,
947,play a theme from 1985 by Patrick Cowley,,,,,theme,,1985,,Patrick Cowley
948,play songs by Gamble Rogers,,,,,,,,,Gamble Rogers
949,I want to hear theme songs from zeebra from the sixties on Slacker,,,,,theme,Slacker,sixties,,zeebra
950,Play a tune by Layne Staley,,,,,tune,,,,Layne Staley
951,play music by Amii Stewart with Itunes,,,,,,Itunes,,,Amii Stewart
952,Play Tanti Auguri A Te from Bruce Gilbert,,,,Tanti Auguri A Te,,,,,Bruce Gilbert
953,I want to listen to nineties  chant songs,,,,,chant,,nineties,,
954,Play some Paulinho Da Viola from 1965 .,,,,,,,1965,,Paulinho Da Viola
955,"I want to listen to an album sorted by last , open Google Music and play Paulinho Da Viola .",,,last,,album,Google Music,,,Paulinho Da Viola
956,play the greatest  james yorkston  song ,,,greatest,,song,,,,james yorkston
957,I want to hear the Live At Slane Castle  album by Haifa Wehbe,,,,,album,,,Live At Slane Castle,Haifa Wehbe
958,Play symphony music from Joe Dolce,,,,,symphony,,,,Joe Dolce
959,play some twenties  movement tunes from the last  Olga Souza,,,last,,movement,,twenties,,Olga Souza
960,play Dick Marx,,,,,,,,,Dick Marx
961,play The Song Remains The Same with Pandora,,,,The Song Remains The Same,,Pandora,,,
962,Play the newest  chant by John Doyle on Zvooq,,,newest,,chant,Zvooq,,,John Doyle
963,Play Anweshaa by the new first.,,,new,,,,,,Anweshaa
964,Can you play some Andrew Cash music on Slacker,,,,,,Slacker,,,Andrew Cash
965,Play top-50  eighties  theme from Alain Caron,,,top-50,,theme,,eighties,,Alain Caron
966,Play me a song from 2008,,,,,song,,2008,,
967,I want to hear music on Itunes,,,,,,Itunes,,,
968,Play fourties  soundtrack from Hamish Maccunn,,,,,soundtrack,,fourties,,Hamish Maccunn
969,Play fifties music on Deezer,,,,,,Deezer,fifties,,
970,Play a Loretta Lynn  tune on Groove Shark,,,,,tune,Groove Shark,,,Loretta Lynn
971,Play sugar baby by frank beard,,,,sugar baby,,,,,frank beard
972,Play a song on zvooq,,,,,song,zvooq,,,
973,Play Divine from Vinnie Roslin,,,,Divine,,,,,Vinnie Roslin
974,Play something by grandmaster flash & the furious five on youtube,,,,,,youtube,,,grandmaster flash & the furious five
975,Play the greatest  Nicholaus Arson  concerto from around 2000,,,greatest,,concerto,,2000,,Nicholaus Arson
976,play No More Sorrow,,,,No More Sorrow,,,,,
977,play something from the twenties on Lastfm,,,,,,Lastfm,twenties,,
978,play the album  Sauna on Zvooq,,,,,album,Zvooq,,Sauna,
979,Play something on my Classic Jazz Funk playlist on Zvooq,,Classic Jazz Funk,,,,Zvooq,,,
980,Play track  Cabbage by Keiji Haino,,,,Cabbage,track,,,,Keiji Haino
981,Play some music by beverley martyn,,,,,,,,,beverley martyn
982,Play me a concerto by Jethro Burns from Zvooq,,,,,concerto,Zvooq,,,Jethro Burns
983,"Play Liubi, Liubi, I Love You by Farah Asyikin Binti Zulkifli on Netflix",,,,"Liubi, Liubi, I Love You",,Netflix,,,Farah Asyikin Binti Zulkifli
984,Use Last Fm to play artist Kawabata Makoto from their record,,,,,record,Last Fm,,,Kawabata Makoto
985,Play me some folklore music,folklore,,,,,,,,
986,play Paula Campbell music from 1993,,,,,,,1993,,Paula Campbell
987,Play playlist Chilled R&B,,Chilled R&B,,,,,,,
988,Play some fifties music by Chris Brown .,,,,,,,fifties,,Chris Brown
989,Play music on Groove Shark .,,,,,,Groove Shark,,,
990,Play the Busco Un Pueblo  album,,,,,album,,,Busco Un Pueblo,
991,Play a record by Black Wall Street Records,,,,,record,,,,Black Wall Street Records
992,Play my Hot 50 playlist.,,Hot 50,,,,,,,
993,Play me a Jill Scott  sound track on deezer,,,,,sound track,deezer,,,Jill Scott
994,Can you play a top  song from a chyi chin  concerto,,,top,,concerto,,,,chyi chin
995,Play a song from 2003,,,,,song,,2003,,
996,Play some art punk .,art punk,,,,,,,,
997,Can I hear tod ashley music from 1953 ?,,,,,,,1953,,tod ashley
998,Play the song  Waar Is De Zon on Slacker,,,,Waar Is De Zon,song,Slacker,,,
999,Play music which has humour on Youtube .,humour,,,,,Youtube,,,
1000,Play me the most popular  Arthur Johnston  song,,,most popular,,song,,,,Arthur Johnston
1001,Please play an album from 1987,,,,,album,,1987,,
1002,play Tonight Only! by Nastya Kamenskih,,,,,,,,Tonight Only!,Nastya Kamenskih
1003,Play songs by Naomi Schemer,,,,,,,,,Naomi Schemer
1004,play Slacker tunes by Smog from movement in 2015,,,,,movement,Slacker,2015,,Smog
1005,Play me Sun Ra songs from the fifties,,,,,,,fifties,,Sun Ra
1006,Play the top fifty  soundtrack from the twenties .,,,top fifty,,soundtrack,,twenties,,
1007,Play music by Don Cherry .,,,,,,,,,Don Cherry
1008,Play Night Electric Night on Iheart,,,,,,Iheart,,Night Electric Night,
1009,Play the album  Killer Instinkt,,,,,album,,,Killer Instinkt,
1010,I want to hear the latest  twenties  album from Kyle Riabko,,,latest,,album,,twenties,,Kyle Riabko
1011,Can you play that last  ep from the twenties,,,last,,ep,,twenties,,
1012,play David Banner on Netflix,,,,,,Netflix,,,David Banner
1013,Play some Maynard James Keenan songs from Scenes From The Big Chair,,,,,,,,Scenes From The Big Chair,Maynard James Keenan
1014,Sort eighties  ep from the last,,,last,,ep,,eighties,,
1015,Play a top five  Jonny Buckland  symphony from around 1989,,,top five,,symphony,,1989,,Jonny Buckland
1016,play Spotify,,,,,,Spotify,,,
1017,Can you play some eighties music,,,,,,,eighties,,
1018,I want to hear music by Madeleine Peyroux from 1991 on Youtube .,,,,,,Youtube,1991,,Madeleine Peyroux
1019,play good music by General Woo on Deezer,,,good,,,Deezer,,,General Woo
1020,Play my Hype playlist on Youtube .,,Hype,,,,Youtube,,,
1021,play some seventies  Dj Colette,,,,,,,seventies,,Dj Colette
1022,play music from 1950,,,,,,,1950,,
1023,Play music from 2012 on google music,,,,,,google music,2012,,
1024,Play me the greatest  Howard Levy  song,,,greatest,,song,,,,Howard Levy
1025,Play playlist riveting ,,riveting,,,,,,,
1026,I want to hear a top five  ballad from 2002,,,top five,,ballad,,2002,,
1027,i wanna listen to a the top-twenty  track of Denniz Pop in Pandora,,,top-twenty,,track,Pandora,,,Denniz Pop
1028,play a movement from top-20  1983 by Baruch Chait,,,top-20,,movement,,1983,,Baruch Chait
1029,Play my springtime playlist.,,springtime,,,,,,,
1030,I want to hear that tune from 2010,,,,,tune,,2010,,
1031,Play Zvooq,,,,,,Zvooq,,,
1032,Play the album  21st Century Live by Chet Lam on Itunes .,,,,,album,Itunes,,21st Century Live,Chet Lam
1033,Can you play music from 2003 on Netflix,,,,,,Netflix,2003,,
1034,Play a native us  song on Last Fm,native us,,,,song,Last Fm,,,
1035,play my De Camino playlist,,De Camino,,,,,,,
1036,Play my Trapeo playlist.,,Trapeo,,,,,,,
1037,Play some new age music,new age,,,,,,,,
1038,I want to hear any top five music from Gene Autry,,,top five,,,,,,Gene Autry
1039,play music by Vybz Kartel,,,,,,,,,Vybz Kartel
1040,Can I hear the latest music from Bahar Kizil ?,,,latest,,,,,,Bahar Kizil
1041,play the top-twenty  tune by Masaharu Fukuyama on Slacker,,,top-twenty,,tune,Slacker,,,Masaharu Fukuyama
1042,Play Humour,Humour,,,,,,,,
1043,Play movement music from 1954,,,,,movement,,1954,,
1044,I want to hear the Fear The Boom And Bust  song from haruka shimotsuki off of Spotify,,,,Fear The Boom And Bust,song,Spotify,,,haruka shimotsuki
1045,I'd like to hear songs from Iheart,,,,,,Iheart,,,
1046,in Google Music play the top singles released in 1972,,,top,,,Google Music,1972,,
1047,Play the greatest  1966  album out there,,,greatest,,album,,1966,,
1048,I want to hear symphony songs from Rebecca Cartwright on Last Fm,,,,,symphony,Last Fm,,,Rebecca Cartwright
1049,Play 1958 music,,,,,,,1958,,
1050,play classic rock on Slacker,classic rock,,,,,Slacker,,,
1051,PLpay the top ten  track from Asia Nitollano on spotify .,,,top ten,,track,spotify,,,Asia Nitollano
1052,Play the top-twenty from Alexander Braginsky .,,,top-twenty,,,,,,Alexander Braginsky
1053,I'd like to listen to iheart radio's chill out playlist please.,,chill out,,,,iheart,,,
1054,Play a melody by avery storm .,,,,,melody,,,,avery storm
1055,Play the top 10 by Sankha Chatterjee .,,,top 10,,,,,,Sankha Chatterjee
1056,Play music by Nick La Rocca,,,,,,,,,Nick La Rocca
1057,Play my funtime playlist on lastfm .,,funtime,,,,lastfm,,,
1058,Play the track  That Would Be Something from Eden Ahbez,,,,That Would Be Something,track,,,,Eden Ahbez
1059,listen to tei  movement from most popular  eighties music,,,most popular,,movement,,eighties,,tei
1060,Play most popular from Nil Burak on Slacker,,,most popular,,,Slacker,,,Nil Burak
1061,Play the most popular  1956  record .,,,most popular,,record,,1956,,
1062,Play a 1950  album on Iheart,,,,,album,Iheart,1950,,
1063,Will you play my Nuestros 80 playlist,,Nuestros 80,,,,,,,
1064,Play Dave Mason 's soundtrack on Last Fm .,,,,,soundtrack,Last Fm,,,Dave Mason
1065,play some Annie Herring  beat street on itunes,,,,,,itunes,,beat street,Annie Herring
1066,Open Netflix and play Kan Man Gifta Sig I Jeans ?,,,,Kan Man Gifta Sig I Jeans,,Netflix,,,
1067,Play some music on Vimeo .,,,,,,Vimeo,,,
1068,Play the track  Siberian Khatru on zvooq,,,,Siberian Khatru,track,zvooq,,,
1069,play some Folk tunes,Folk,,,,,,,,
1070,Play a 1978  track on Slacker,,,,,track,Slacker,1978,,
1071,Play some music by Mutlu,,,,,,,,,Mutlu
1072,Play Dj Scratch 's eighties music on Iheart .,,,,,,Iheart,eighties,,Dj Scratch
1073,Play The Cross And The Crucible by Angela Au Man Sze on Google Music,,,,,,Google Music,,The Cross And The Crucible,Angela Au Man Sze
1074,Play some happy gabber .,happy gabber,,,,,,,,
1075,I want to hear some psychedelic rock,psychedelic rock,,,,,,,,
1076,Play the soundtrack that Tom Bellamy contributed to,,,,,soundtrack,,,,Tom Bellamy
1077,I want to hear Steven Harwell from the thirties,,,,,,,thirties,,Steven Harwell
1078,play music from the twenties with Slacker,,,,,,Slacker,twenties,,
1079,Play 1958 by wayne petti,,,,,,,1958,,wayne petti
1080,Play something from 1985 by Billy Werner,,,,,,,1985,,Billy Werner
1081,Play me a 1958  adam yauch  concerto on Groove Shark,,,,,concerto,Groove Shark,1958,,adam yauch
1082,Play prints in the stone by Helen Baylor,,,,,,,,prints in the stone,Helen Baylor
1083,play the last  1957  movement,,,last,,movement,,1957,,
1084,Play the most popular  Grace Slick  song that has a symphony sound,,,most popular,,symphony sound,,,,Grace Slick
1085,I want to hear some acid punk music,acid punk,,,,,,,,
1086,Play some music from Miss Platnum,,,,,,,,,Miss Platnum
1087,play Christina Milian  latest music,,,latest,,,,,,Christina Milian
1088,Play music from the seventies,,,,,,,seventies,,
1089,play a 2006  chant,,,,,chant,,2006,,
1090,Play some Mike Burney on Google Music .,,,,,,Google Music,,,Mike Burney
1091,Play a melody from Leigh Nash using Lastfm,,,,,melody,Lastfm,,,Leigh Nash
1092,Play me an eighties  song by Wes Dakus,,,,,song,,eighties,,Wes Dakus
1093,Play Post Garage Wave Revival playlist.,,Post Garage Wave Revival,,,,,,,
1094,Play Richard Fortus ' Live Collection .,,,,,,,,Live Collection,Richard Fortus
1095,play some dance on Groove Shark,dance,,,,,Groove Shark,,,
1096,play the most popular  album on Google Music by sasu ripatti,,,most popular,,album,Google Music,,,sasu ripatti
1097,I want to hear any tune from the twenties,,,,,tune,,twenties,,
1098,Play Jono El Grande from the thirties,,,,,,,thirties,,Jono El Grande
1099,Play blues on Vimeo,blues,,,,,Vimeo,,,
1100,Play some fourties music on Zvooq,,,,,,Zvooq,fourties,,
1101,play Wanted by Erykah Badu,,,,Wanted,,,,,Erykah Badu
1102,Play some Christian Rock,Christian Rock,,,,,,,,
1103,Play some Retro music.,Retro,,,,,,,,
1104,Play some music from the twenties .,,,,,,,twenties,,
1105,Play Mea Culpa by Rahim Shah,,,,,,,,Mea Culpa,Rahim Shah
1106,Play Acid Punk music.,Acid Punk,,,,,,,,
1107,Play Funky Heavy Bluesy,,Funky Heavy Bluesy,,,,,,,
1108,Play me a song from 1972 by Sweet Emma Barrett,,,,,song,,1972,,Sweet Emma Barrett
1109,Play The Birds And The Bees by Ceca .,,,,The Birds And The Bees,,,,,Ceca
