,text,object_part_of_series_type,best_rating,object_select,object_name,rating_unit,object_type,rating_value
788,rate the book  Dreams of the Raven  5  stars,,,,Dreams of the Raven,stars,book,5
789,Give Conan the Buccaneer  5 of 6  points,,6,,Conan the Buccaneer,points,,5
790,Rate the following  series a one out of 6,series,6,following,,,,one
791,Contemporary Religious Satanism gets a rating of 3 .,,,,Contemporary Religious Satanism,,,3
792,Rate Company for Gertrude  4 of 6,,6,,Company for Gertrude,,,4
793,I would like to rate the current  chronicle  4 to 6  stars .,chronicle,6,current,,stars,,4
794,rate the current  essay a four,,,current,,,essay,four
795,I give the chronicle  Atop an Underwood: Early Stories and Other Writings a rating value of 3 and a best rating of 6,chronicle,6,,Atop an Underwood: Early Stories and Other Writings,,,3
796,I would like to rate Tar: A Midwest Childhood a value of 1 and a best rating of 6,,6,,Tar: A Midwest Childhood,,,1
797,current  album gets a value of 0,,,current,,,album,0
798,Rate this  essay  four,,,this,,,essay,four
799,rate this  essay  2  points,,,this,,points,essay,2
800,I would give French Poets and Novelists a best rating of 6 and a value of three,,6,,French Poets and Novelists,,,three
801,give the current  chronicle  three  points,chronicle,,current,,points,,three
802,Rate this  album a one,,,this,,,album,one
803,This current  essay deserves only a three rating,,,current,,,essay,three
804,Give The Diamond Chariot a 0 out of 6 .,,6,,The Diamond Chariot,,,0
805,I think that this  essay deserves four  stars,,,this,,stars,essay,four
806,Rate this  textbook  four  points,,,this,,points,textbook,four
807,Rate the current  novel  four of 6  stars,,6,current,,stars,novel,four
808,I feel that The Loveday Trials is rated at a one out of 6  points .,,6,,The Loveday Trials,points,,one
809,I give The Elegant Universe  five out of 6  stars,,6,,The Elegant Universe,stars,,five
810,rate this  textbook a one,,,this,,,textbook,one
811,"Rate The Astonishing Life of Octavian Nothing, Traitor to the Nation, Volume II: The Kingdom on the Waves  series  2  points",series,,,"The Astonishing Life of Octavian Nothing, Traitor to the Nation, Volume II: The Kingdom on the Waves",points,,2
812,Rate the current  book  1  points,,,current,,points,book,1
813,Rate Steps  two out of 6  points,,6,,Steps,points,,two
814,Give the current  album a 2,,,current,,,album,2
815,give two out of 6  stars  saga called The Big Question,saga,6,,The Big Question,stars,,two
816,rate the previous  textbook a 4 out of 6,,6,previous,,,textbook,4
817,I think this  saga only deserves a 0 out of 6 .,saga,6,this,,,,0
818,Give the current  textbook  five  stars .,,,current,,stars,textbook,five
819,rate current  essay  1  stars,,,current,,stars,essay,1
820,rate this current  essay  4 out of 6  stars,,6,current,,stars,essay,4
821,I gave Perchance to Dream  4 of 6  points,,6,,Perchance to Dream,points,,4
822,Give the Hover Car Racer  chronicle  two of 6  stars,chronicle,6,,Hover Car Racer,stars,,two
823,give a 5 to A Picture of Her Tombstone,,,,A Picture of Her Tombstone,,,5
824,I would give this  chronicle  0  stars,chronicle,,this,,stars,,0
825,I want to give this  textbook  four out of 6 ,,6,this,,,textbook,four
826,I give 3 of 6  stars for the current  textbook,,6,current,,stars,textbook,3
827,this  novel gets 1 star,,,this,,,novel,1
828,I would like to rate The Hundred-Year Christmas  four  stars .,,,,The Hundred-Year Christmas,stars,,four
829,Give the current  album a four .,,,current,,,album,four
830,Give The Plague a 0,,,,The Plague,,,0
831,can i give the book  The Saga of Seven Suns a four out of 6  stars,,6,,The Saga of Seven Suns,stars,book,four
832,I want to give A Mortal Flower a two,,,,A Mortal Flower,,,two
833,rate this series titled Adolf Hitler: My Part in His Downfall  two  stars,series,,,Adolf Hitler: My Part in His Downfall,stars,,two
834,Add a rating of 0 out of 6  stars to The Lady of The Aroostook,,6,,The Lady of The Aroostook,stars,,0
835,give 2  stars to Mulligan Stew  series,series,,,Mulligan Stew,stars,,2
836,rate Doctor No  one of 6,,6,,Doctor No,,,one
837,Rate this  novel  one out of 6  stars,,6,this,,stars,novel,one
838,I am giving this current  textbook  4  stars,,,current,,stars,textbook,4
839,Rate this  textbook a 5,,,this,,,textbook,5
840,I give The Homo Handbook  saga  3 of 6  stars,saga,6,,The Homo Handbook,stars,,3
841,rate the current  essay  three of 6  points,,6,current,,points,essay,three
842,I give Nothing Lasts Forever  5 out of 6  points .,,6,,Nothing Lasts Forever,points,,5
843,Rate Wolves Eat Dogs  5 out of 6  points,,6,,Wolves Eat Dogs,points,,5
844,Rate this  novel  four  stars,,,this,,stars,novel,four
845,My current  textbook should have a rating value of 5 and a best rating of 6,,6,current,,,textbook,5
846,The book  As Sure as the Dawn gets a two out of 6 rating,,6,,As Sure as the Dawn,,book,two
847,I wish to rate zero  points out of 6 to The Crack in Space .,,6,,The Crack in Space,points,,zero
848,give this book titled Othappu  zero  points,,,,Othappu,points,book,zero
849,I'd like to rate My Beloved World  two  points,,,,My Beloved World,points,,two
850,Rate the current  textbook a 5 .,,,current,,,textbook,5
851,I want to give this  book a rating of 2  points out of 6 .,,6,this,,points,book,2
852,Give the book  Men and the City  3 out of 6  stars,,6,,Men and the City,stars,book,3
853,I give a rating of 3 to The Ultimate Resource .,,,,The Ultimate Resource,,,3
854,Give A History of the Mind a 2 out of 6  points .,,6,,A History of the Mind,points,,2
855,I rate Cold Tom  four  points and a best value of 6,,6,,Cold Tom,points,,four
856,For the book  Icon of Evil I rate a 2 ,,,,Icon of Evil,,book,2
857,Rate the current  essay  0 .,,,current,,,essay,0
858,Rate this  novel a 1 out of 6,,6,this,,,novel,1
859,Give Star Songs of an Old Primate  4 out of 6  points,,6,,Star Songs of an Old Primate,points,,4
860,give this  saga a 4,saga,,this,,,,4
861,rate Lone Wolf  3  points,,,,Lone Wolf,points,,3
862,Rate Gates of Fire a 2,,,,Gates of Fire,,,2
863,For the book  The Flash: Stop Motion I give a rating of 5  points,,,,The Flash: Stop Motion,points,book,5
864,I want to give this  novel a four out of 6  stars,,6,this,,stars,novel,four
865,I'd rate the current  essay as a 2,,,current,,,essay,2
866,The Execution of Justice only deserves 2  points,,,,The Execution of Justice,points,,2
867,give 1 star to this  album,,,this,,,album,1
868,Rate the current  novel a one ,,,current,,,novel,one
869,Rate this  album  two out of 6  stars,,6,this,,stars,album,two
870,I rate the book  You Only Live Twice  two  points,,,,You Only Live Twice,points,book,two
871,The Half-Life  chronicle deserves 3  points,chronicle,,,Half-Life,points,,3
872,give it a 0 for this  essay,,,this,,,essay,0
873,Give the current  chronicle a three .,chronicle,,current,,,,three
874,Rate Human Capital Supply Chain  four of 6  points,,6,,Human Capital Supply Chain,points,,four
875,Give the current  book  five  stars out of 6 .,,6,current,,stars,book,five
876,rate the current  essay a three,,,current,,,essay,three
877,mark The Final Battle score two out of 6,,6,,The Final Battle,,,two
878,rate the current  book  three  stars,,,current,,stars,book,three
879,this  saga deserves a score of four,saga,,this,,,,four
880,give one out of 6  points to this  album,,6,this,,points,album,one
881,Rate the current  essay a 1,,,current,,,essay,1
882,rate The Beggar of Volubilis  1 out of 6,,6,,The Beggar of Volubilis,,,1
883,give 1  points to The Duel: Pakistan on the Flight Path of American Power  saga ,saga,,,The Duel: Pakistan on the Flight Path of American Power,points,,1
884,rate the current  novel  5  stars,,,current,,stars,novel,5
885,Give The First Chronicles of Druss the Legend a zero .,,,,The First Chronicles of Druss the Legend,,,zero
886,Give the current  textbook  four  stars,,,current,,stars,textbook,four
887,the previous  novel is worth two out of 6,,6,previous,,,novel,two
888,give five out of 6  points to this  album,,6,this,,points,album,five
889,I am rating this book titled A History of Warfare under the war  series  1 out of 6  stars,series,6,,war,stars,book,1
890,give four  stars to What the Day Owes the Night,,,,What the Day Owes the Night,stars,,four
891,I want to give the current  saga  0  stars ,saga,,current,,stars,,0
892,give this current  essay  five out of 6  stars,,6,current,,stars,essay,five
893,I want to give this  textbook  3 out of 6  points,,6,this,,points,textbook,3
894,I am rating this book named The Infinite Man  5  stars,,,,The Infinite Man,stars,book,5
895,I give Hadon of Ancient Opar  two out of 6  points,,6,,Hadon of Ancient Opar,points,,two
896,rate this with zero  points for the saga called A Good Recovery out of 6,saga,6,,A Good Recovery,points,,zero
897,The boring Peace on Earth gets a two out of 6 .,,6,,Peace on Earth,,,two
898,rate this  essay  zero out of 6,,6,this,,,essay,zero
899,Rate this  series a 5,series,,this,,,,5
900,I'd give the current  essay  five  points,,,current,,points,essay,five
901,Rate A Handful of Darkness a value of 3 ,,,,A Handful of Darkness,,,3
902,I would give this  textbook a rating of 0 and a best rating of 6,,6,this,,,textbook,0
903,Rate The Crocus List  five out of 6,,6,,The Crocus List,,,five
904,Rate The Tritonian Ring  zero,,,,The Tritonian Ring,,,zero
905,I'd rate the current  essay  1  stars,,,current,,stars,essay,1
906,Rate The Mills of The Kavanaughs  series a one,series,,,The Mills of The Kavanaughs,,,one
907,I give this terrible book a two out of 6 .,,6,this,,,book,two
908,award this current  novel  0  points,,,current,,points,novel,0
909,Rate the current  chronicle a two,chronicle,,current,,,,two
910,Rate the current  novel  1 out of 6  points .,,6,current,,points,novel,1
911,Rate my current  textbook  three out of 6,,6,current,,,textbook,three
912,give 4  points to Fight Club,,,,Fight Club,points,,4
913,give 2 out of 6  points to current  essay ,,6,current,,points,essay,2
914,Evolution and the Theory of Games gets a five out of 6 .,,6,,Evolution and the Theory of Games,,,five
915,I have to give this current  essay a rating of three,,,current,,,essay,three
916,Rate The Seventh Decade  two of 6  points,,6,,The Seventh Decade,points,,two
917,rate this  essay a 3,,,this,,,essay,3
918,Rate the current  book  three out of 6 .,,6,current,,,book,three
919,Give Highways in Hiding a 5 out of 6  points .,,6,,Highways in Hiding,points,,5
920,The horrible book  The Black Gryphon only gets 2 out of 6 .,,6,,The Black Gryphon,,book,2
921,rate the last  saga  3,saga,,last,,,,3
922,rate Theodore Boone: The Accused  five out of 6  points,,6,,Theodore Boone: The Accused,points,,five
923,Rate Dead Boys a 0 ,,,,Dead Boys,,,0
924,Rate Pillar of Fire and Other Plays a three,,,,Pillar of Fire and Other Plays,,,three
925,rate this current  novel  1  stars,,,current,,stars,novel,1
926,Give this  novel  four out of 6  stars .,,6,this,,stars,novel,four
927,rate Alfred Kropp: The Thirteenth Skull  3 out of 6,,6,,Alfred Kropp: The Thirteenth Skull,,,3
928,I want this  chronicle to get a rating of 4,chronicle,,this,,,,4
929,Rate The Vanishing Thieves  4 out of 6,,6,,The Vanishing Thieves,,,4
930,Rate this  chronicle a 3,chronicle,,this,,,,3
931,give the current  essay a 1 ,,,current,,,essay,1
932,rate the book  Pimpernel and Rosemary  1 out of 6,,6,,Pimpernel and Rosemary,,book,1
933,give 0 out of 6  points to current  book,,6,current,,points,book,0
934,I give the Carry Me Down  chronicle  three of 6  points,chronicle,6,,Carry Me Down,points,,three
935,The current  essay is worthy only of a 0 out 6 score.,,6,current,,,essay,0
936,this next  essay is worth five,,,next,,,essay,five
937,I'm rating the book  Tomorrow  two out of 6  stars,,6,,Tomorrow,stars,book,two
938,Give 2 out of 6  points to A Tale of Time City,,6,,A Tale of Time City,points,,2
939,"I want to rate Nathaniel Fludd, Beastologist  1 out of 6",,6,,"Nathaniel Fludd, Beastologist",,,1
940,rate the current  essay  2 out of 6,,6,current,,,essay,2
941,Give one out of 6 to A Week in the Woods,,6,,A Week in the Woods,,,one
942,I give Song of Solomon a rating of one .,,,,Song of Solomon,,,one
943,Give this  textbook  zero  stars,,,this,,stars,textbook,zero
944,Contemporary Religious Satanism gets a 3 rating.,,,,Contemporary Religious Satanism,,,3
945,Give Mason & Dixon a rating of three .,,,,Mason & Dixon,,,three
946,"I would give the Against His-Story, Against Leviathan  saga a value of one",saga,,,"Against His-Story, Against Leviathan",,,one
947,Rate The Twinkie Squad  chronicle  four of 6,chronicle,6,,The Twinkie Squad,,,four
948,Rate the current  saga  four  stars out of 6,saga,6,current,,stars,,four
949,rate the current  album  two out of 6,,6,current,,,album,two
950,give zero  points out of 6 to The Devil in a Forest,,6,,The Devil in a Forest,points,,zero
951,I want to give The Unpleasantness at the Bellona Club  5  points,,,,The Unpleasantness at the Bellona Club,points,,5
952,rate this  album  2 of 6 ,,6,this,,,album,2
953,Rate the current  novel a zero .,,,current,,,novel,zero
954,Rate this current  essay a zero .,,,this current,,,essay,zero
955,Rate this  series  one  stars,series,,this,,stars,,one
956,rate the current  book a four,,,current,,,book,four
957,Put 4  points to The Last Island  book,,,,The Last Island,points,book,4
958,rate the current  novel  0 of 6,,6,current,,,novel,0
959,Rate The Australian Ugliness  3  points,,,,The Australian Ugliness,points,,3
960,I think that this  novel should get 2  points and a rating of 6,,6,this,,points,novel,2
961,I give The Thibaults a 1 .,,,,The Thibaults,,,1
962,put four rating on The Raging Quiet,,,,The Raging Quiet,,,four
963,rate Mus of Kerbridge a one,,,,Mus of Kerbridge,,,one
964,Rate the chronicle  Tarzan the Terrible a 4 out of 6,chronicle,6,,Tarzan the Terrible,,,4
965,I would give Political Man  zero  stars,,,,Political Man,stars,,zero
966,Rate The Hollow Man  5  points,,,,The Hollow Man,points,,5
967,Give this  essay  1 out of 6 .,,6,this,,,essay,1
968,Give this  book a rating of four out of 6 .,,6,this,,,book,four
969,Rate this  album a 3 ,,,this,,,album,3
970,rate the book  The Devil in Velvet  4 out of 6  points,,6,,The Devil in Velvet,points,book,4
971,The current  novel I'm reading gets only a one out of 6 .,,6,current,,,novel,one
972,Give The CIA and the Cult of Intelligence a rating of 5 .,,,,The CIA and the Cult of Intelligence,,,5
973,rate the current  essay a 4 ,,,current,,,essay,4
974,give 4 out of 6  stars to The Nightmare Lands,,6,,The Nightmare Lands,stars,,4
975,I would give this current  novel  two  points or a rating of 6,,6,current,,points,novel,two
976,Rate this  essay a 1,,,this,,,essay,1
977,I rate three  points for the book  The Early Coorgs,,,,The Early Coorgs,points,book,three
978,Give this  textbook a four ,,,this,,,textbook,four
979,"Rate Anarchy, State, and Utopia  saga a 5",saga,,,"Anarchy, State, and Utopia",,,5
980,give 0 out of 6 star to Religion and Dharma  series,series,6,,Religion and Dharma,,,0
981,A Sport and a Pastime is a solid 5 out of 6  points,,6,,A Sport and a Pastime,points,,5
982,rate the previous  essay  1 of 6  stars,,6,previous,,stars,essay,1
983,give two  points to Wild Blood,,,,Wild Blood,points,,two
984,Give the current  album on my playlist a rating of three .,,,current,,,album,three
985,give a 1 to A Thousand Lies,,,,A Thousand Lies,,,1
986,I want to rate Pontypool Changes Everything a zero out of 6  points,,6,,Pontypool Changes Everything,points,,zero
987,Rate Nuclear Terrorism: The Ultimate Preventable Catastrophe  5  stars,,,,Nuclear Terrorism: The Ultimate Preventable Catastrophe,stars,,5
988,rate this  book  5 of 6  points,,6,this,,points,book,5
989,rate The Crossing  3 of 6,,6,,The Crossing,,,3
990,this is a 1 star textbook,,,this,,,textbook,1
991,I think this  textbook should have four  stars and a best rating of 6,,6,this,,stars,textbook,four
992,rate Over the Edge a three,,,,Over the Edge,,,three
993,I rate the current  textbook a 1 out of 6 .,,6,current,,,textbook,1
994,I give this  textbook a 5,,,this,,,textbook,5
995,rate this  essay  four out of 6  points,,6,this,,points,essay,four
996,Give the current  essay  five  points .,,,current,,points,essay,five
997,Rate the current  novel  5 of 6  points,,6,current,,points,novel,5
998,Rate A Tale of Love and Darkness  0  points,,,,A Tale of Love and Darkness,points,,0
999,rate Betrayer of Worlds  1 out of 6,,6,,Betrayer of Worlds,,,1
1000,Rate the current  book  five of 6  stars,,6,current,,stars,book,five
1001,Rate this  textbook a 2 .,,,this,,,textbook,2
1002,Mars Probes gets a 1 rating.,,,,Mars Probes,,,1
1003,Rate this  novel a two out of 6 .,,6,this,,,novel,two
1004,give 0 out of 6  stars to this  album,,6,this,,stars,album,0
1005,Rate Richard Carvel  4 out of 6,,6,,Richard Carvel,,,4
1006,I would rate this  novel  2  points and a best rating of 6,,6,this,,points,novel,2
1007,I give the Knife of Dreams  saga a 0 of 6,saga,6,,Knife of Dreams,,,0
1008,rate the following  novel  one of 6,,6,following,,,novel,one
1009,I would rate this current  essay a 0,,,current,,,essay,0
1010,rate this  book  5  stars out of 6,,6,this,,stars,book,5
1011,Rate The Documents in the Case  series  two of 6,series,6,,The Documents in the Case,,,two
1012,I gave the current  book a three of 6,,6,current,,,book,three
1013,give this  essay  4  points,,,this,,points,essay,4
1014,"rate the book  A Girl, a Man, and a River a five",,,,"A Girl, a Man, and a River",,book,five
1015,"4  points for Four Upbuilding Discourses, 1844",,,,"Four Upbuilding Discourses, 1844",points,,4
1016,"The book  Dying, In Other Words deserves at least five  points on a 6 point scale.",,6,,"Dying, In Other Words",points,book,five
1017,rate the bok series  Preparedness 101: Zombie Apocalypse  two for 6  stars,series,6,,Preparedness 101: Zombie Apocalypse,stars,,two
1018,Rate Rajinikanth: The Definitive Biography  one out of 6  stars,,6,,Rajinikanth: The Definitive Biography,stars,,one
1019,Rate Gota’s War a one,,,,Gota’s War,,,one
1020,The Bone Season is worth at least three  points,,,,The Bone Season,points,,three
1021,give two star to current  textbook,,,current,,,textbook,two
1022,this book gets points for being current and a three,,,current,,points,book,three
1023,rate the book  Whit a zero,,,,Whit,,book,zero
1024,Rate the current  novel a 1,,,current,,,novel,1
1025,Rate this  textbook  four of 6  points,,6,this,,points,textbook,four
1026,find a saga with 0 rating called Poems for Midnight,saga,,,Poems for Midnight,,,0
1027,I give the Journal of a Sad Hermaphrodite a 0 out of 6  points .,,6,,Journal of a Sad Hermaphrodite,points,,0
1028,The book  Organization of Behavior deserves two  points .,,,,Organization of Behavior,points,book,two
1029,"Rate Dixie Lullaby: A Story of Music, Race and New Beginnings in a New South  five out of 6  points",,6,,"Dixie Lullaby: A Story of Music, Race and New Beginnings in a New South",points,,five
1030,rate The Archivist  three out of 6  stars,,6,,The Archivist,stars,,three
1031,rate National Geographic Dinosaurs  2 out of 6,,6,,National Geographic Dinosaurs,,,2
1032,Rate Star Wars - The Old Republic: Revan  1  points,,,,Star Wars - The Old Republic: Revan,points,,1
1033,give After Worlds Collide a 1 ,,,,After Worlds Collide,,,1
1034,Rate Ecology: From Individuals to Ecosystems  five out of 6  stars,,6,,Ecology: From Individuals to Ecosystems,stars,,five
1035,Rate the current  essay  1 of 6,,6,current,,,essay,1
1036,Rate Religion and Dharma  saga  1  points,saga,,,Religion and Dharma,points,,1
1037,rate this  book  chronicle  1  points,chronicle,,this,,points,book,1
1038,Rate The Compleat Housewife  saga  zero of 6,saga,6,,The Compleat Housewife,,,zero
1039,I give four  stars to this  chronicle .,chronicle,,this,,stars,,four
1040,Rate the current  textbook  2  stars,,,current,,stars,textbook,2
1041,Rate The Hard Life  0  stars ,,,,The Hard Life,stars,,0
1042,Rate this  novel a 1 out of 6,,6,this,,,novel,1
1043,Give Northern Lights Audio  5 / 6  points,,6,,Northern Lights Audio,points,,5
1044,rate The Plutonium Files a five,,,,The Plutonium Files,,,five
1045,Rate the current  essay  four out of 6 .,,6,current,,,essay,four
1046,give one point to Compendium of Analytical Nomenclature,,,,Compendium of Analytical Nomenclature,,,one
1047,rate the current  book  five of 6,,6,current,,,book,five
1048,Give the current part of the saga  4  points out of 6 .,saga,6,current,,points,,4
1049,rate the chronicle  Ten from Tomorrow a 2,chronicle,,,Ten from Tomorrow,,,2
1050,Please rate the current  textbook with 5  stars out o 6,,6,current,,stars,textbook,5
1051,Rate this  textbook  one  stars out of 6 ,,6,this,,stars,textbook,one
1052,Give 3 / 6  stars to The Simon & Schuster Encyclopedia of Dinosaurs and Prehistoric Creatures,,6,,The Simon & Schuster Encyclopedia of Dinosaurs and Prehistoric Creatures,stars,,3
1053,This current  textbook should have a rating value of two and a best rating of 6,,6,current,,,textbook,two
1054,I would rate The Codebreakers a rating of 6 and a value of 2,,6,,The Codebreakers,,,2
1055,rate the current  essay  one out of 6,,6,current,,,essay,one
1056,Give Home from the Hill a 3 ,,,,Home from the Hill,,,3
1057,rate What the Dog Saw a two,,,,What the Dog Saw,,,two
1058,rate the saga  In Mortal Hands  five out of 6  stars,saga,6,,In Mortal Hands,stars,,five
1059,Rate The Summer King  saga a 1  stars,saga,,,The Summer King,stars,,1
1060,rate The Knife That Killed Me a three,,,,The Knife That Killed Me,,,three
1061,Rate The Book of Three a five,,,,The Book of Three,,,five
1062,rate the next  book  0 of 6,,6,next,,,book,0
1063,give 1 star to The Cure for Death by Lightning,,,,The Cure for Death by Lightning,,,1
1064,this  series gets 2 out of 6  stars,series,6,this,,stars,,2
1065,Rate Encyclopedia of Domestic Animation  four out of 6  stars,,6,,Encyclopedia of Domestic Animation,stars,,four
1066,Rate this  textbook  4 out of 6  stars,,6,this,,stars,textbook,4
1067,I need a 6 rating or five with something like a saga in The Best Science Fiction of the Year 13,saga,6,,The Best Science Fiction of the Year 13,,,five
1068,this  series should get 0 of 6  points,series,6,this,,points,,0
1069,my rating for Some Doves and Pythons is four,,,,Some Doves and Pythons,,,four
1070,give zero out of 6  stars to Smart Girls Get What They Want  book ,,6,,Smart Girls Get What They Want,stars,book,zero
1071,The current  saga only gets three  points out of 6 .,saga,6,current,,points,,three
1072,rate The Pure Weight of the Heart  series  5  points,series,,,The Pure Weight of the Heart,points,,5
1073,give The Rosales Saga  2 of 6 ,,6,,The Rosales Saga,,,2
1074,rate the book  saga  West with the Night a 2,saga,,,West with the Night,,book,2
1075,give zero out of 6  points to Mr American,,6,,Mr American,points,,zero
1076,I give the next  novel  two  stars,,,next,,stars,novel,two
1077,Rate Leap into Darkness  1  points,,,,Leap into Darkness,points,,1
1078,Rate the current  album  2  stars,,,current,,stars,album,2
1079,Rate Battleaxe  five out of 6,,6,,Battleaxe,,,five
1080,"Out of a possible 6  stars , I give The Princes and The Treasure a five .",,6,,The Princes and The Treasure,stars,,five
1081,Rate the current  textbook  1 of 6,,6,current,,,textbook,1
1082,The Private Patient gets a rating of 5 ,,,,The Private Patient,,,5
1083,rate American Tabloid a 0,,,,American Tabloid,,,0
1084,Rate this  textbook  four of 6,,6,this,,,textbook,four
1085,Rate my current  novel  one  stars,,,current,,stars,novel,one
1086,Rate Three Men Out a three,,,,Three Men Out,,,three
1087,Rate this  essay  four out of 6,,6,this,,,essay,four
1088,rate the current  essay  three  points,,,current,,points,essay,three
1089,I want to give the chronicle  Zombie Bums from Uranus  3  points,chronicle,,,Zombie Bums from Uranus,points,,3
1090,I give The Tin Can Tree a five of 6,,6,,The Tin Can Tree,,,five
1091,A Conspiracy of Paper deserves a solid 3,,,,A Conspiracy of Paper,,,3
1092,Rate The Purcell Papers  two out of 6  stars,,6,,The Purcell Papers,stars,,two
1093,stars for this album are one for the current  6 ratings,,6,current,,stars,album,one
1094,rate this  book  three  points out of 6,,6,this,,points,book,three
1095,Rate this  album  0  points out of 6,,6,this,,points,album,0
1096,Rate the previous  album  0  points out of 6,,6,previous,,points,album,0
1097,give 1 out of 6  points to current  saga,saga,6,current,,points,,1
1098,I would rate this  textbook  5  points and a rating value of 6,,6,this,,points,textbook,5
1099,A Writing Kind of Day deserves three  points and a best rating of 6,,6,,A Writing Kind of Day,points,,three
1100,"Assign 4  stars out of 6 to the chronicle , God and Man at Yale .",chronicle,6,,God and Man at Yale,stars,,4
1101,Give the current  album a three .,,,current,,,album,three
1102,Rate Nothing Lasts Forever a value of 3,,,,Nothing Lasts Forever,,,3
1103,rate the current  chronicle series  4 out of 6  points,chronicle series,6,current,,points,,4
1104,rate The Chymical Wedding  3  points,,,,The Chymical Wedding,points,,3
1105,rate this book titled Sombrero Fallout: A Japanese Novel  0  points,,,,Sombrero Fallout: A Japanese Novel,points,book,0
1106,Rate The Starship Trap  5  stars,,,,The Starship Trap,stars,,5
1107,Give 2  points to Khaled: A Tale of Arabia,,,,Khaled: A Tale of Arabia,points,,2
1108,Rate People of the Lakes  2 of 6,,6,,People of the Lakes,,,2
1109,I want to give the book  Heart and Soul  three  stars .,,,,Heart and Soul,stars,book,three
1110,rate Darth Maul: Shadow Hunter  one out 6  stars,,6,,Darth Maul: Shadow Hunter,stars,,one
1111,Rate The Penelopiad  zero out of 6 .,,6,,The Penelopiad,,,zero
1112,rate Until I Find You  four  points,,,,Until I Find You,points,,four
1113,I give the previous  album  one out of 6  points .,,6,previous,,points,album,one
1114,I want to give Three Days Before the Shooting...  one out of 6  stars,,6,,Three Days Before the Shooting...,stars,,one
1115,I would give this current  novel  one  stars,,,current,,stars,novel,one
1116,I'd rate The Rise of the West a 2 of 6  stars,,6,,The Rise of the West,stars,,2
1117,Know Ye Not Agincourt? gets 4 out of 6  points,,6,,Know Ye Not Agincourt?,points,,4
1118,rate The Republic of Thieves  chronicle  three out of 6  points,chronicle,6,,The Republic of Thieves,points,,three
1119,Rate the current  saga a two,saga,,current,,,,two
1120,I give The Blood Book  five  stars,,,,The Blood Book,stars,,five
1121,give 4 out of 6  points to this  book,,6,this,,points,book,4
1122,Give Home Is the Hunter  zero  stars,,,,Home Is the Hunter,stars,,zero
1123,Rate this  essay  four out of 6,,6,this,,,essay,four
1124,four out of 6  stars for Special Assignments,,6,,Special Assignments,stars,,four
1125,rate the current  chronicle  five  stars,chronicle,,current,,stars,,five
1126,I'd like to rate the book  White Dawns at zero of 6  stars .,,6,,White Dawns,stars,book,zero
1127,I want to give the following  essay  five  points out of 6,,6,following,,points,essay,five
1128,The Forest should be rated a four,,,,The Forest,,,four
1129,Rate The Best American Short Stories 2007  one out of 6  points,,6,,The Best American Short Stories 2007,points,,one
1130,I rate the current  novel a 1 of 6  stars,,6,current,,stars,novel,1
1131,"rate Dick Sand, A Captain at Fifteen a two out of 6",,6,,"Dick Sand, A Captain at Fifteen",,,two
1132,Give zero  stars to Book of Artifacts,,,,Book of Artifacts,stars,,zero
1133,I want to rate this  essay  0 of 6  stars,,6,this,,stars,essay,0
1134,rate My Life As a Book  five out of 6,,6,,My Life As a Book,,,five
1135,Rate The Reader is Warned  four out of 6  points,,6,,The Reader is Warned,points,,four
1136,Rate The Country Blues  3 out of 6  stars,,6,,The Country Blues,stars,,3
1137,Rate The Taking  series a zero out of 6,series,6,,The Taking,,,zero
1138,Give this  album  4 of 6  points,,6,this,,points,album,4
1139,Rate The Myth of Matriarchal Prehistory  series a four,series,,,The Myth of Matriarchal Prehistory,,,four
1140,rate this  book  0 out of 6,,6,this,,,book,0
1141,I would give The Case of the Late Pig a best rating of 6 and a five for value,,6,,The Case of the Late Pig,,,five
1142,I would rate That Old Ace in the Hole  one  stars and a best rating of 6,,6,,That Old Ace in the Hole,stars,,one
1143,I give Benson-Meditation  1 out of 6  stars .,,6,,Benson-Meditation,stars,,1
1144,The Only Snow in Havana deserves a best rating of 6 and 5  points,,6,,The Only Snow in Havana,points,,5
1145,I give Warheart  5  stars .,,,,Warheart,stars,,5
1146,rate this  series  4  stars,series,,this,,stars,,4
1147,Give the current  essay  5 / 6  stars,,6,current,,stars,essay,5
1148,I give The Phishing Manual  four  stars out of 6 .,,6,,The Phishing Manual,stars,,four
1149,Rate this current  essay  four out of 6 .,,6,this current,,,essay,four
1150,Rate the Apocalisse  saga  one out of 6  points,saga,6,,Apocalisse,points,,one
1151,Rate The Scoop  4 of 6  stars,,6,,The Scoop,stars,,4
1152,Rate The Abyss of Wonders  4 out of 6 .,,6,,The Abyss of Wonders,,,4
1153,Rate Illness as Metaphor  5 of 6,,6,,Illness as Metaphor,,,5
1154,I give The Alchemyst: The Secrets of the Immortal Nicholas Flamel  2 out of 6  stars .,,6,,The Alchemyst: The Secrets of the Immortal Nicholas Flamel,stars,,2
1155,rate the current  saga  zero of 6  stars,saga,6,current,,stars,,zero
1156,Rate the current  essay  0 of 6,,6,current,,,essay,0
1157,give a 4 rating for Curtains for Three,,,,Curtains for Three,,,4
1158,Rate Through Distant Worlds and Times  5 of 6  points,,6,,Through Distant Worlds and Times,points,,5
1159,rate the current  book  two of 6  stars,,6,current,,stars,book,two
1160,give 1 out of 6  points to current  textbook,,6,current,,points,textbook,1
1161,Rate Timeline of science fiction  4 out of 6,,6,,Timeline of science fiction,,,4
1162,Rate this current  album  0,,,current,,,album,0
